"country_id","bank_code","swift","bank_name"
"ES","0003","BDEPESM1XXX","BANCO DE DEPOSITOS, S.A."
"ES","0011","ALLFESMMXXX","ALLFUNDS BANK, S.A."
"ES","0019","DEUTESBBASS","DEUTSCHE BANK, S.A.E."
"ES","0021","BCNDESM1XXX","BANCO CONDAL, S.A."
"ES","0030","ESPCESMMXXX","BANCO ESPAÑOL DE CREDITO, S.A."
"ES","0031","ETCHES2GXXX","BANCO ETCHEVERRIA, S.A."
"ES","0036","SABNESMMXXX","SANTANDER INVESTMENT, S.A."
"ES","0046","GALEES2GXXX","BANCO GALLEGO, S.A."
"ES","0049","BSCHESMMXXX","BANCO SANTANDER, S.A."
"ES","0057","BVADESMMXXX","BANCO DEPOSITARIO BBVA, S.A."
"ES","0058","BNPAESMZXXX","BNP PARIBAS ESPAÑA, S.A."
"ES","0059","MADRESMMXXX","BANCO DE MADRID, S.A."
"ES","0061","BMARES2MXXX","BANCA MARCH, S.A."
"ES","0065","BARCESMMXXX","BARCLAYS BANK, S.A."
"ES","0072","PSTRESMMXXX","BANCO PASTOR, S.A."
"ES","0073","OPENESMMXXX","OPEN BANK, S.A."
"ES","0075","POPUESMMXXX","BANCO POPULAR ESPAÑOL, S.A."
"ES","0078","BAPUES22XXX","BANCA PUEYO, S.A."
"ES","0081","BSABESBBXXX","BANCO DE SABADELL, S.A."
"ES","0083","RENBESMMXXX","RENTA 4 BANCO, S.A."
"ES","0086","NORTESMMXXX","BANCO BANIF, S.A."
"ES","0093","VALEESVVXXX","BANCO DE VALENCIA, S.A."
"ES","0094","BVALESMMXXX","RBC INVESTOR SERVICES ESPAÑA, S.A."
"ES","0099","AHCRESVVXXX","BANKIA BANCA PRIVADA, S.A."
"ES","0106","LOYDESMMXXX","LLOYDS TSB BANK PLC, S.E."
"ES","0107","BNLIESM1XXX","BANCA NAZIONALE DEL LAVORO, S.P.A., S.E."
"ES","0108","SOGEESMMAGM","SOCIETE GENERALE, SUCURSAL EN ESPAÑA"
"ES","0113","INBBESM1XXX","BANCO INDUSTRIAL DE BILBAO, S.A."
"ES","0121","OCBAESM1XXX","BANCO OCCIDENTAL, S.A."
"ES","0122","CITIES2XXXX","CITIBANK ESPAÑA, S.A."
"ES","0125","BAOFESM1XXX","BANCOFAR, S.A."
"ES","0128","BKBKESMMXXX","BANKINTER, S.A."
"ES","0129","INALESM1XXX","BBVA BANCO DE FINANCIACION, S.A."
"ES","0130","CGDIESMMXXX","BANCO CAIXA GERAL, S.A."
"ES","0131","BESMESMMXXX","BANCO ESPIRITO SANTO, S.A., SUCURSAL EN ESPAÑA"
"ES","0132","PRNEESM1XXX","BANCO DE PROMOCION DE NEGOCIOS, S.A. (PROMOBANC)"
"ES","0133","MIKBESB1XXX","NUEVO MICRO BANK, S.A."
"ES","0136","AREBESMMXXX","ARESBANK, S.A."
"ES","0138","BKOAES22XXX","BANKOA, S.A."
"ES","0144","PARBESMHXXX","BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA"
"ES","0145","DEUTESM1XXX","DEUTSCHE BANK A.G., S.E."
"ES","0149","BNPAESMHXXX","BNP PARIBAS, SUCURSAL EN ESPAÑA"
